Away,AQ1,AQ2,AQ3,AQ4,AOT1,AOT2,Away_Final,Home,HQ1,HQ2,HQ3,HQ4,HOT1,HOT2,Home_Final,Date,Q1M,Q2M,Q3M,FinalMargin,FinalTotal,HomeMargin,AwayELO,HomeELO,Season,Week,Playoffs,AwayBye,HomeBye,Intraconference,Intradivision,TravelDist
Titans,3,7,9,10,0,0,29,Giants,0,10,0,0,0,0,10,201003,3,0,9,19,39,-19,1523.799,1506.112,2010,3,0,0,0,0,0,758
Falcons,7,7,3,7,3,0,27,Saints,14,0,7,3,0,0,24,201003,-7,0,-4,3,51,-3,1554.582,1655.429,2010,3,0,0,0,1,1,424
Bills,3,13,7,7,0,0,30,Patriots,7,10,14,7,0,0,38,201003,4,1,8,8,68,8,1440.801,1561.145,2010,3,0,0,0,1,1,404
Lions,7,3,0,0,0,0,10,Vikings,7,7,10,0,0,0,24,201003,0,4,14,14,34,14,1297.121,1549.238,2010,3,0,0,0,1,1,542
49ers,0,3,0,7,0,0,10,Chiefs,0,10,14,7,0,0,31,201003,0,7,21,21,41,21,1453.576,1444.615,2010,3,0,0,0,0,0,1503
Bengals,7,3,0,10,0,0,20,Panthers,0,0,7,0,0,0,7,201003,7,10,3,13,27,-13,1503.487,1497.605,2010,3,0,0,0,0,0,336
Texans,14,0,10,7,0,0,31,Raiders,7,7,0,10,0,0,24,201004,7,0,10,7,55,-7,1544.298,1373.744,2010,4,0,0,0,1,0,1635
Patriots,0,6,21,14,0,0,41,Dolphins,7,0,7,0,0,0,14,201004,-7,-1,13,27,55,-27,1571.521,1506.062,2010,4,0,0,0,1,1,1241
Bears,0,0,0,3,0,0,3,Giants,3,0,7,7,0,0,17,201004,3,3,10,14,20,14,1529.741,1471.353,2010,4,0,0,0,1,0,711
Cardinals,0,7,0,3,0,0,10,Chargers,7,21,10,3,0,0,41,201004,7,21,31,31,51,31,1515.591,1568.875,2010,4,0,0,0,0,0,298
Washington,14,3,0,0,0,0,17,Eagles,0,6,0,6,0,0,12,201004,14,11,11,5,29,-5,1410.363,1585.954,2010,4,0,0,0,1,1,123
Colts,7,7,0,14,0,0,28,Jaguars,7,7,7,10,0,0,31,201004,0,0,7,3,59,3,1626.109,1417.119,2010,4,0,0,0,1,1,699
Ravens,0,10,0,7,0,0,17,Steelers,7,0,0,7,0,0,14,201004,-7,3,3,3,31,-3,1576.539,1627.926,2010,4,0,0,0,1,1,196
49ers,14,0,0,0,0,0,14,Falcons,0,10,3,3,0,0,16,201004,-14,-4,-1,2,30,2,1428.253,1576.234,2010,4,0,0,0,1,0,2135
Seahawks,0,3,0,0,0,0,3,Rams,7,3,7,3,0,0,20,201004,7,7,14,17,23,17,1444.929,1335.243,2010,4,0,0,0,1,1,1720
Broncos,0,10,6,10,0,0,26,Titans,0,10,10,0,0,0,20,201004,0,0,-4,6,46,-6,1450.254,1558.558,2010,4,0,0,0,1,0,1019
Lions,0,14,6,6,0,0,26,Packers,7,14,7,0,0,0,28,201004,7,7,8,2,54,2,1290.552,1596.503,2010,4,0,0,0,1,1,291
Bengals,0,10,3,7,0,0,20,Browns,3,10,10,0,0,0,23,201004,3,3,10,3,43,3,1535.177,1403.692,2010,4,0,0,0,1,1,217
Jets,7,10,21,0,0,0,38,Bills,0,7,0,7,0,0,14,201004,7,10,31,24,52,-24,1621.302,1430.426,2010,4,0,0,0,1,1,292
Panthers,0,7,7,0,0,0,14,Saints,0,10,3,3,0,0,16,201004,0,3,-1,2,30,2,1465.915,1633.777,2010,4,0,0,0,1,1,648
Vikings,0,0,7,13,0,0,20,Jets,3,6,6,14,0,0,29,201005,3,9,8,9,49,9,1555.807,1641.176,2010,5,0,1,0,0,0,1016
Eagles,7,10,0,10,0,0,27,49ers,7,3,0,14,0,0,24,201005,0,7,7,3,51,-3,1553.775,1423.708,2010,5,0,0,0,1,0,2516
Chargers,0,17,7,3,0,0,27,Raiders,12,3,7,13,0,0,35,201005,12,-2,-2,8,62,8,1590.98,1359.751,2010,5,0,0,0,1,1,454
Titans,10,7,3,14,0,0,34,Cowboys,3,7,7,10,0,0,27,201005,7,7,3,7,61,-7,1527.694,1572.647,2010,5,0,0,1,0,0,616
Saints,10,3,0,7,0,0,20,Cardinals,0,10,3,17,0,0,30,201005,-10,-3,0,10,50,10,1637.898,1493.485,2010,5,0,0,0,1,0,1312
Giants,14,10,3,7,0,0,34,Texans,0,3,7,0,0,0,10,201005,14,21,17,24,44,-24,1497.839,1558.291,2010,5,0,0,0,0,0,1417
Broncos,0,7,0,10,0,0,17,Ravens,7,10,0,14,0,0,31,201005,7,10,10,14,48,14,1481.119,1595.904,2010,5,0,0,0,1,0,1506
Packers,7,3,3,0,0,0,13,Washington,0,3,0,10,3,0,16,201005,-7,-7,-10,3,29,3,1598.49,1442.543,2010,5,0,0,0,1,0,686
Chiefs,0,3,6,0,0,0,9,Colts,3,3,3,10,0,0,19,201005,3,3,0,10,28,10,1469.937,1605.457,2010,5,0,1,0,1,0,451
Rams,3,3,0,0,0,0,6,Lions,3,21,7,13,0,0,44,201005,0,18,25,38,50,38,1368.52,1288.565,2010,5,0,0,0,1,0,454
Falcons,0,6,7,7,0,0,20,Browns,0,7,3,0,0,0,10,201005,0,-1,3,10,30,-10,1580.779,1420.69,2010,5,0,0,0,0,0,555
Buccaneers,0,7,7,10,0,0,24,Bengals,7,3,3,8,0,0,21,201005,-7,-3,1,3,45,-3,1454.293,1518.18,2010,5,0,1,0,0,0,783
Jaguars,3,10,14,9,0,0,36,Bills,10,3,7,6,0,0,26,201005,-7,0,7,10,62,-10,1437.771,1410.551,2010,5,0,0,0,1,0,880
Bears,17,0,0,6,0,0,23,Panthers,3,0,3,0,0,0,6,201005,14,14,11,17,29,-17,1503.255,1461.794,2010,5,0,0,0,1,0,586
Chiefs,7,7,10,7,0,0,31,Texans,0,7,7,21,0,0,35,201006,-7,-7,-10,4,66,4,1459.402,1512.339,2010,6,0,0,0,1,0,646
Titans,7,10,3,10,0,0,30,Jaguars,0,0,3,0,0,0,3,201006,7,17,17,27,33,-27,1556.287,1464.811,2010,6,0,0,0,1,1,500
Colts,7,10,7,3,0,0,27,Washington,7,0,10,7,0,0,24,201006,0,10,7,3,51,-3,1615.992,1460.705,2010,6,0,0,0,0,0,490
Cowboys,7,7,0,7,0,0,21,Vikings,7,0,14,3,0,0,24,201006,0,-7,7,3,45,3,1544.054,1543.04,2010,6,0,0,0,1,0,863
Raiders,3,3,0,3,0,0,9,49ers,0,3,7,7,0,0,17,201006,-3,-3,4,8,26,8,1394.096,1412.736,2010,6,0,0,0,0,0,8
Jets,0,7,3,14,0,0,24,Broncos,0,10,7,3,0,0,20,201006,0,-3,-7,4,44,-4,1653.943,1467.994,2010,6,0,0,0,1,0,1627
Saints,7,10,7,7,0,0,31,Buccaneers,0,0,0,6,0,0,6,201006,7,17,24,25,37,-25,1607.432,1474.244,2010,6,0,0,0,1,1,480
Seahawks,7,7,2,7,0,0,23,Bears,7,6,0,7,0,0,20,201006,0,1,3,3,43,-3,1411.653,1534.448,2010,6,0,1,0,1,0,1732
Falcons,0,7,3,7,0,0,17,Eagles,14,7,7,3,0,0,31,201006,14,14,18,14,48,14,1597.626,1564.747,2010,6,0,0,0,1,0,665
Lions,7,3,0,10,0,0,20,Giants,7,7,7,7,0,0,28,201006,0,4,11,8,48,8,1327.038,1543.79,2010,6,0,0,0,1,0,480
Ravens,3,7,7,3,0,0,20,Patriots,7,0,3,10,3,0,23,201006,4,-3,-7,3,43,3,1609.029,1604.792,2010,6,0,0,1,1,0,350
Chargers,0,3,7,7,0,0,17,Rams,10,7,0,3,0,0,20,201006,10,14,7,3,37,3,1556.635,1330.047,2010,6,0,0,0,0,0,1561
Dolphins,7,3,3,7,3,0,23,Packers,10,0,0,10,0,0,20,201006,-3,0,3,3,43,-3,1472.791,1580.328,2010,6,0,1,0,0,0,1366
Browns,3,0,0,7,0,0,10,Steelers,0,7,7,14,0,0,28,201006,-3,4,11,18,38,18,1403.843,1608.561,2010,6,0,0,1,1,1,114
Bills,10,14,0,10,0,0,34,Ravens,3,17,14,0,3,0,37,201007,-7,-4,10,3,71,3,1383.511,1597.874,2010,7,0,1,0,1,0,275
Giants,7,17,14,3,0,0,41,Cowboys,10,10,0,15,0,0,35,201007,-3,4,18,6,76,-6,1550.216,1533.036,2010,7,0,0,0,1,1,1370
Vikings,7,10,7,0,0,0,24,Packers,7,7,14,0,0,0,28,201007,0,-3,4,4,52,4,1554.058,1558.374,2010,7,0,0,0,1,1,259
Patriots,7,6,7,3,0,0,23,Chargers,3,0,0,17,0,0,20,201007,4,10,17,3,43,-3,1615.947,1535.177,2010,7,0,0,0,1,0,2580
Raiders,24,14,21,0,0,0,59,Broncos,0,7,7,0,0,0,14,201007,24,31,45,45,73,-45,1377.928,1457.844,2010,7,0,0,0,1,1,939
Cardinals,0,0,7,3,0,0,10,Seahawks,3,7,9,3,0,0,22,201007,3,10,12,12,32,12,1523.951,1434.287,2010,7,0,1,0,1,1,1114
49ers,7,3,0,10,0,0,20,Panthers,3,7,3,10,0,0,23,201007,-4,0,3,3,43,3,1428.904,1430.601,2010,7,0,0,1,1,0,2296
Washington,7,3,7,0,0,0,17,Bears,7,7,0,0,0,0,14,201007,0,-4,3,3,31,-3,1450.773,1511.813,2010,7,0,0,0,1,0,594
Browns,10,10,0,10,0,0,30,Saints,0,3,0,14,0,0,17,201007,10,17,17,13,47,-13,1394.678,1632.91,2010,7,0,0,0,0,0,924
Steelers,0,17,3,3,0,0,23,Dolphins,6,10,3,3,0,0,22,201007,-6,1,1,1,45,-1,1617.725,1494.745,2010,7,0,0,0,1,0,1013
Jaguars,3,10,7,0,0,0,20,Chiefs,7,7,14,14,0,0,42,201007,4,1,8,22,62,22,1434.39,1449.121,2010,7,0,0,0,1,0,949
Eagles,0,13,3,3,0,0,19,Titans,0,7,3,27,0,0,37,201007,0,-6,-6,18,56,18,1588.977,1586.708,2010,7,0,0,0,0,0,683
Rams,0,17,0,0,0,0,17,Buccaneers,3,3,6,6,0,0,18,201007,3,-11,-5,1,35,1,1351.505,1448.766,2010,7,0,0,0,1,0,861
Bengals,3,0,22,7,0,0,32,Falcons,7,17,0,15,0,0,39,201007,4,21,-1,7,71,7,1498.229,1573.396,2010,7,0,1,0,0,0,374
Steelers,0,3,0,7,0,0,10,Saints,0,3,3,14,0,0,20,201008,0,0,3,10,30,10,1623.362,1580.789,2010,8,0,0,0,0,0,919
Buccaneers,7,17,7,7,0,0,38,Cardinals,7,7,14,7,0,0,35,201008,0,10,3,3,73,-3,1452.409,1496.173,2010,8,0,0,0,1,0,1793
Vikings,0,7,3,8,0,0,18,Patriots,0,7,14,7,0,0,28,201008,0,0,11,10,46,10,1541.528,1629.086,2010,8,0,0,0,0,0,1128
Seahawks,0,0,0,3,0,0,3,Raiders,3,7,3,20,0,0,33,201008,3,10,13,30,36,30,1462.066,1435.083,2010,8,0,0,0,0,0,677
Titans,5,14,0,6,0,0,25,Chargers,7,7,10,9,0,0,33,201008,2,-5,5,8,58,8,1610.223,1522.037,2010,8,0,0,0,1,0,1739
Broncos,0,0,7,9,0,0,16,49ers,3,0,0,21,0,0,24,201008,3,3,-4,8,40,8,1418.001,1400.69,2010,8,0,0,0,0,0,947
Texans,0,3,7,7,0,0,17,Colts,7,10,10,3,0,0,30,201008,7,14,17,13,47,13,1522.62,1625.924,2010,8,0,1,1,1,1,865
Panthers,0,3,0,7,0,0,10,Rams,0,10,0,10,0,0,20,201008,0,7,7,10,30,10,1441.505,1347.863,2010,8,0,0,0,1,0,567
Bills,0,0,3,7,0,0,10,Chiefs,0,7,0,3,3,0,13,201008,0,7,4,3,23,3,1379.406,1472.555,2010,8,0,0,0,1,0,858
Washington,0,13,0,12,0,0,25,Lions,0,7,7,23,0,0,37,201008,0,-6,1,12,62,12,1470.591,1320.612,2010,8,0,0,1,1,0,394
Jaguars,7,7,14,7,0,0,35,Cowboys,3,0,0,14,0,0,17,201008,4,11,25,18,52,-18,1410.956,1510.424,2010,8,0,0,0,0,0,906
Dolphins,3,9,3,7,0,0,22,Bengals,7,7,0,0,0,0,14,201008,-4,-2,1,8,36,-8,1489.108,1486.165,2010,8,0,0,0,1,0,957
Packers,3,0,0,6,0,0,9,Jets,0,0,0,0,0,0,0,201008,3,3,3,9,9,-9,1570.905,1664.092,2010,8,0,0,1,0,0,758
Steelers,10,10,0,7,0,0,27,Bengals,0,7,0,14,0,0,21,201009,10,13,13,6,48,-6,1601.155,1459.559,2010,9,0,0,0,1,1,252
Cowboys,0,7,0,0,0,0,7,Packers,0,28,7,10,0,0,45,201009,0,21,28,38,52,38,1464.569,1606.29,2010,9,0,0,0,1,0,937
Colts,0,17,0,7,0,0,24,Eagles,13,3,3,7,0,0,26,201009,13,-1,2,2,50,2,1639.413,1565.462,2010,9,0,0,1,0,0,582
Chiefs,0,10,3,7,0,0,20,Raiders,0,0,14,6,3,0,23,201009,0,-10,1,3,43,3,1479.977,1465.16,2010,9,0,0,0,1,1,1495
Giants,21,14,6,0,0,0,41,Seahawks,0,0,0,7,0,0,7,201009,21,35,41,34,48,-34,1572.828,1431.989,2010,9,0,1,0,1,0,2401
Chargers,14,0,7,8,0,0,29,Texans,10,10,3,0,0,0,23,201009,4,-6,-2,6,52,-6,1545.723,1509.131,2010,9,0,0,0,1,0,1301
Dolphins,7,3,0,0,0,0,10,Ravens,7,6,7,6,0,0,26,201009,0,3,10,16,36,16,1515.714,1601.979,2010,9,0,0,1,1,0,956
Cardinals,0,14,7,3,0,0,24,Vikings,0,10,0,14,3,0,27,201009,0,-4,-11,3,51,3,1477.167,1528.363,2010,9,0,0,0,1,0,1278
Jets,0,10,0,10,3,0,23,Lions,7,0,6,7,0,0,20,201009,-7,3,-3,3,43,-3,1628.707,1353.691,2010,9,0,0,0,0,0,480
Patriots,0,7,0,7,0,0,14,Browns,10,7,7,10,0,0,34,201009,10,10,17,20,48,20,1642.252,1446.799,2010,9,0,0,1,1,0,551
Bears,0,7,7,8,0,0,22,Bills,0,7,6,6,0,0,19,201009,0,0,1,3,41,-3,1491.995,1371.984,2010,9,0,1,0,0,0,453
Buccaneers,0,14,7,0,0,0,21,Falcons,7,10,10,0,0,0,27,201009,7,3,6,6,48,6,1471.415,1585.46,2010,9,0,0,1,1,1,416
Saints,7,10,10,7,0,0,34,Panthers,3,0,0,0,0,0,3,201009,4,14,24,31,37,-31,1602.996,1415.211,2010,9,0,0,0,1,1,648
Chiefs,0,10,7,12,0,0,29,Broncos,21,14,7,7,0,0,49,201010,21,25,25,20,78,20,1468.367,1379.974,2010,10,0,0,1,1,1,556
Patriots,10,0,13,16,0,0,39,Steelers,0,3,0,23,0,0,26,201010,10,7,20,13,65,-13,1598.276,1615.88,2010,10,0,0,0,1,0,479
Rams,3,7,7,3,0,0,20,49ers,7,3,0,10,3,0,23,201010,4,0,-7,3,43,3,1374.157,1438.716,2010,10,0,1,1,1,1,1741
Eagles,28,17,14,0,0,0,59,Washington,0,14,7,7,0,0,28,201010,28,31,38,31,87,-31,1576.778,1437.512,2010,10,0,0,1,1,1,123
Cowboys,6,13,14,0,0,0,33,Giants,3,3,14,0,0,0,20,201010,3,13,13,13,53,-13,1448.945,1599.811,2010,10,0,0,0,1,1,1370
Texans,3,0,14,7,0,0,24,Jaguars,3,14,0,14,0,0,31,201010,0,14,0,7,55,7,1487.809,1456.811,2010,10,0,0,1,1,1,820
Seahawks,7,10,9,10,0,0,36,Cardinals,7,3,0,8,0,0,18,201010,0,7,16,18,54,-18,1405.005,1468.246,2010,10,0,0,0,1,1,1114
Titans,10,0,7,0,0,0,17,Dolphins,7,3,10,9,0,0,29,201010,-3,0,3,12,46,12,1586.537,1500.068,2010,10,0,1,0,1,0,816
Bengals,0,10,0,7,0,0,17,Colts,10,10,0,3,0,0,23,201010,10,10,10,6,40,6,1444.834,1628.098,2010,10,0,0,0,1,0,99
Jets,3,14,0,3,6,0,26,Browns,10,3,0,7,0,0,20,201010,-7,4,4,6,46,-6,1634.526,1490.775,2010,10,0,0,0,1,0,403
Vikings,3,7,3,0,0,0,13,Bears,0,14,6,7,0,0,27,201010,-3,4,7,14,40,14,1537.283,1503.396,2010,10,0,0,0,1,1,355
Lions,0,3,0,9,0,0,12,Bills,0,7,7,0,0,0,14,201010,0,4,11,2,26,2,1347.872,1360.583,2010,10,0,0,0,0,0,215
Ravens,0,0,7,14,0,0,21,Falcons,0,10,3,13,0,0,26,201010,0,10,6,5,47,5,1617.625,1594.924,2010,10,0,0,0,0,0,576
Panthers,3,7,6,0,0,0,16,Buccaneers,7,14,0,10,0,0,31,201010,4,11,5,15,47,15,1393.526,1461.951,2010,10,0,0,0,1,1,511
Broncos,7,0,0,7,0,0,14,Chargers,7,14,7,7,0,0,35,201011,0,14,21,21,49,21,1412.815,1567.045,2010,11,0,0,1,1,1,832
Giants,0,3,7,7,0,0,17,Eagles,7,6,3,11,0,0,27,201011,7,10,6,10,44,10,1554.396,1603.244,2010,11,0,0,0,1,1,80
Colts,0,14,0,14,0,0,28,Patriots,7,14,7,3,0,0,31,201011,7,7,14,3,59,3,1634.856,1632.095,2010,11,0,0,0,1,0,805
Buccaneers,0,7,7,7,0,0,21,49ers,0,0,0,0,0,0,0,201011,0,7,14,21,21,-21,1478.519,1447.14,2010,11,0,0,0,1,0,2396
Seahawks,3,13,0,3,0,0,19,Saints,7,20,7,0,0,0,34,201011,4,11,18,15,53,15,1447.316,1624.68,2010,11,0,0,1,1,0,2098
Falcons,3,13,7,11,0,0,34,Rams,7,3,7,0,0,0,17,201011,-4,6,6,17,51,-17,1610.374,1365.732,2010,11,0,0,0,1,0,467
Browns,0,7,10,3,0,0,20,Jaguars,3,7,0,14,0,0,24,201011,3,3,-7,4,44,4,1476.175,1475.291,2010,11,0,0,0,1,0,771
Ravens,10,7,3,17,0,0,37,Panthers,0,3,3,7,0,0,13,201011,10,14,14,24,50,-24,1602.175,1376.958,2010,11,0,0,0,0,0,364
Texans,0,7,0,20,0,0,27,Jets,3,10,7,10,0,0,30,201011,3,6,13,3,57,3,1469.329,1649.126,2010,11,0,0,0,1,0,1417
Packers,0,17,7,7,0,0,31,Vikings,3,0,0,0,0,0,3,201011,-3,14,21,28,34,-28,1621.913,1512.965,2010,11,0,1,0,1,1,259
Cardinals,3,0,3,7,0,0,13,Chiefs,0,14,7,10,0,0,31,201011,-3,11,15,18,44,18,1425.935,1435.526,2010,11,0,0,0,0,0,1047
Washington,7,3,3,3,3,0,19,Titans,7,3,3,3,0,0,16,201011,0,0,0,3,35,-3,1411.046,1559.036,2010,11,0,0,0,0,0,566
Lions,0,10,9,0,0,0,19,Cowboys,7,0,14,14,0,0,35,201011,7,-3,2,16,54,16,1339.596,1494.361,2010,11,0,0,0,1,0,999
Bills,7,7,14,21,0,0,49,Bengals,7,24,0,0,0,0,31,201011,0,-17,-3,18,80,-18,1368.86,1438.076,2010,11,0,0,0,1,0,388
Bears,3,3,10,0,0,0,16,Dolphins,0,0,0,0,0,0,0,201011,3,6,16,16,16,-16,1527.714,1527.569,2010,11,0,0,0,0,0,1189
Raiders,3,0,0,0,0,0,3,Steelers,0,21,0,14,0,0,35,201011,-3,18,18,32,38,32,1476.77,1582.061,2010,11,0,1,0,1,0,2251
Dolphins,10,3,10,10,0,0,33,Raiders,7,7,0,3,0,0,17,201012,3,-1,9,16,50,-16,1492.989,1459.061,2010,12,0,0,0,1,0,2582
49ers,14,7,3,3,0,0,27,Cardinals,3,3,0,0,0,0,6,201012,11,15,18,21,33,-21,1412.722,1403.478,2010,12,0,0,0,1,1,652
Chargers,10,6,10,10,0,0,36,Colts,7,7,0,0,0,0,14,201012,3,2,12,22,50,-22,1579.448,1623.764,2010,12,0,0,0,1,0,1784
Buccaneers,0,3,0,7,0,0,10,Ravens,0,17,0,0,0,0,17,201012,0,14,14,7,27,7,1512.937,1619.247,2010,12,0,0,0,0,0,852
Rams,7,19,7,3,0,0,36,Broncos,10,3,0,20,0,0,33,201012,-3,13,20,3,69,-3,1351.715,1400.412,2010,12,0,0,0,0,0,794
Eagles,3,10,0,13,0,0,26,Bears,14,7,10,0,0,0,31,201012,11,8,18,5,57,5,1618.829,1562.294,2010,12,0,0,0,1,0,664
Chiefs,7,14,0,21,0,0,42,Seahawks,7,3,7,7,0,0,24,201012,0,11,4,18,66,-18,1457.983,1437.397,2010,12,0,0,0,0,0,1502
Titans,0,0,0,0,0,0,0,Texans,0,14,3,3,0,0,20,201012,0,14,17,20,20,20,1535.303,1464.43,2010,12,0,0,0,1,1,665
